date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2023-07-31 00:00:00+00:00,7872881636.625643,521442769.9223985,146784955.13697535,1116791886.5469344,1203063739.7392032,13108022081.57921,5791342964.545562,293817669.4210929,314019546.7834789,170944684.28338924,302433295.3861227,198782149.89805377,626549756.6884853,2832065269.2185144
2023-08-01 00:00:00+00:00,6641808341.386258,424603425.7923442,115378737.12910978,1406177636.9756496,815760612.162505,13098215453.817194,6106091989.307732,270640807.30785483,418086969.3925527,181518352.27293187,293585605.8166471,214881592.888272,462873886.6693827,3075157969.5039134
2023-08-02 00:00:00+00:00,15289922840.873833,451388149.5321087,146975740.45973027,1521287462.8124747,1226474181.9174674,25377039033.12224,8990773317.298777,211814801.3037704,854382518.1098098,242542187.9484125,256506470.25763005,251588141.4433026,860193327.7485383,5326107234.122894
2023-08-03 00:00:00+00:00,19266318894.08652,437878805.3250585,116422881.72333354,1053596026.1910684,1343088131.8480926,23643854095.0633,8178850227.510264,275460384.90189385,750233247.9259268,208213921.70256236,245289001.13088912,270310508.10119355,326296099.44962734,4492429904.377933
2023-08-04 00:00:00+00:00,12539132810.40034,434504375.1851865,130810699.09167027,1277296653.4007647,906334883.8847512,17894208326.919086,5908647350.667135,185565238.5773469,390117777.86190295,292519752.4985298,202027685.90078852,229914804.363966,635287060.7511903,21863112794.23339
2023-08-05 00:00:00+00:00,12112869085.655884,362395292.1018645,105532191.44126175,1200556083.392803,836249387.0395079,11293689345.822758,6229669774.689679,176301935.39627966,359584156.0298493,197170877.9612019,187728297.1900521,210555884.67624977,543079440.0197126,3411266718.4144464
2023-08-06 00:00:00+00:00,5335308729.48437,539033839.7708057,90155176.82717931,1002199104.3092476,334021571.6287143,8632620439.423523,2952349825.885361,138652706.04142368,251536722.07828715,157529534.71172297,200943990.95423216,137903300.93375623,135376483.0183336,1675708346.1786623
2023-08-07 00:00:00+00:00,5360283576.269965,369057587.49867415,105463333.48029168,771069752.2066147,328454882.41201854,11345706293.528992,2992818475.645687,121147768.89990862,372359290.6820566,150759078.22907323,160891496.46630406,141675402.11570564,203561959.8224097,1874548744.277484
2023-08-08 00:00:00+00:00,13252185122.112452,398305731.048855,135546059.01973382,1327007615.2127016,499355743.1493427,22713171469.689056,7660232552.642202,696618589.4519792,410120374.0576311,239590650.86775416,185891718.00273964,232729909.14923385,528514044.9330144,3622888390.5140834
2023-08-09 00:00:00+00:00,14603570418.91888,374950347.816744,125518324.95746808,1375092164.8041742,603103458.5085845,25194087093.52214,7498117030.737751,474173312.9391761,470639117.9081405,312662208.2085525,195228711.31159884,292734488.49769,754023524.1554228,3754964287.019226
2023-08-10 00:00:00+00:00,14633310097.491425,369748154.4788845,111438591.7323051,1498394768.283378,373938930.0313933,18767301829.031574,6010104016.055266,231089796.46761888,401504275.2124687,195518674.0081936,186796311.97176123,361331303.7157812,275236427.0457557,3016939902.7773566
2023-08-11 00:00:00+00:00,8106253519.025447,399366004.76722986,88891824.90298674,1063357974.3368188,323247965.57746017,10890096033.917694,3733537744.9027367,248197774.99050304,339047442.161706,179477802.60477665,173472710.9949651,224516024.10531023,460118217.5552136,2203564212.0221443
2023-08-12 00:00:00+00:00,4651950357.636653,263740989.01364213,74206077.79245552,924970915.640284,243447161.8113831,8184751224.058282,3694816570.962365,174587251.9056716,363763402.7761661,124610584.57440908,159040748.10488114,148454600.85603166,382214506.3228523,1575234195.3411024
2023-08-13 00:00:00+00:00,3994297895.288944,385515900.69012594,60318033.27504757,502921367.1804816,214995255.06591564,9189020281.947245,2215986526.701653,98340797.78142212,195205362.18388575,105607968.60484432,141044221.1101342,117309616.79308784,259005249.13165396,1242418455.6936498
2023-08-14 00:00:00+00:00,4755220448.634491,325530830.8297274,65383376.03672773,620939906.9800236,404198312.4566496,9254138040.705433,3642424563.740612,114233809.24077886,230763796.0344269,125106297.15534896,161679767.2827342,148526924.7041201,402993829.9534627,1681826723.9697866
2023-08-15 00:00:00+00:00,12408355477.111338,433958600.0715877,66705340.56655204,967305278.5730306,316194399.5737181,12792365654.7868,4495324729.871393,134429026.09737483,323212804.63247764,129874470.39537588,197002006.3560629,241856951.6687877,219036858.80900332,2461885539.9956408
2023-08-16 00:00:00+00:00,11523395157.99864,485736337.2786123,95546835.93683057,1200448874.4198472,570126358.9822981,18746693270.259037,4416612452.1140585,318822435.47831905,480198153.7569262,174122704.0345391,185587361.47544116,287565277.9627811,546239287.9057779,3215612150.837099
