,NetworkRisk
2022-01-24,0.01116556904404055
2022-01-25,0.033510605379113594
2022-01-26,-0.004097368834590349
2022-01-27,0.00539226521282845
2022-01-28,0.01587629624506965
2022-01-29,-0.033994588365245104
2022-01-30,-0.0005334960524408499
2022-01-31,-0.018620279292841553
2022-02-01,0.0016062336251586994
2022-02-02,-0.01312009448248085
2022-02-03,-0.023268288578578447
2022-02-04,0.00503000437473595
2022-02-05,-0.001886067613666248
2022-02-06,-0.01992616248084585
2022-02-07,0.0030283142546451494
2022-02-08,0.0044977206508922535
2022-02-09,-0.0448973633166244
2022-02-10,-0.0022134596330951007
2022-02-11,-0.01613342926369855
2022-02-12,-0.011873385736131802
2022-02-13,0.034648139483598205
2022-02-14,0.005968739872754551
2022-02-15,-0.0139857288770588
2022-02-16,-0.015562076692079
2022-02-17,-0.004511116378394003
2022-02-18,-0.0017481410493308536
2022-02-19,-0.024354566452963397
2022-02-20,-0.00846630337938285
2022-02-21,-0.01187386669207945
2022-02-22,-0.0407859014590556
2022-02-23,0.01699711027932645
2022-02-24,-0.0169735209666586
2022-02-25,-0.004826199908595601
2022-02-26,-0.004520803072926394
2022-02-27,-0.00577274487921795
2022-02-28,0.0035502978400485455
2022-03-01,0.012321717836635757
2022-03-02,0.0289307319686953
2022-03-03,0.01538480991529995
2022-03-04,-0.005085556399341749
2022-03-05,-0.008641725685518346
2022-03-06,-0.004414458897696151
2022-03-07,0.007210775722478947
2022-03-08,-0.0038773234440913976
2022-03-09,-0.007214888366338299
2022-03-10,0.018867878058033444
2022-03-11,-0.0199631264420393
2022-03-12,-0.0103906179644329
2022-03-13,-0.0038776328645036004
2022-03-14,-0.009663642754741252
2022-03-15,-0.010255087475712
2022-03-16,-0.00219380378104815
2022-03-17,-0.007509327303057901
2022-03-18,0.01046339596134805
2022-03-19,-0.013223098198929403
2022-03-20,-0.02417393568337895
2022-03-21,-0.0219547335865202
2022-03-22,-0.03398391004924435
2022-03-23,-0.045919140248480844
2022-03-24,0.0561855440354945
2022-03-25,0.022409401076794302
2022-03-26,-0.01326037301665265
2022-03-27,0.015291653652430248
2022-03-28,0.030424025073521405
2022-03-29,-0.011604510871467848
2022-03-30,0.0032038561929530005
2022-03-31,-0.0097542263228259
2022-04-01,-0.021435719288901603
2022-04-02,-0.0017757262409441518
2022-04-03,-0.01254843495363125
2022-04-04,0.0263081377448266
2022-04-05,-0.0021213576811003588
2022-04-06,0.07024722484766875
2022-04-07,-0.11545236672358497
2022-04-08,0.016965267829516
2022-04-09,-0.004867734246895149
2022-04-10,-0.0007528723841801997
2022-04-11,0.02176725088236195
2022-04-12,-0.008391787225224406
2022-04-13,0.016250431180247802
2022-04-14,0.002216520159617652
2022-04-15,0.020776263992877998
2022-04-16,0.02520138706530425
2022-04-17,-0.01373999394516915
2022-04-18,-0.013349907721653849
2022-04-19,0.005504303114808947
2022-04-20,0.0101604941113781
2022-04-21,0.00866755904757605
2022-04-22,0.00397455954625105
2022-04-23,-0.008145135747619152
2022-04-24,0.0084498279388735
2022-04-25,-0.0048098861597064
2022-04-26,0.08715784032889205
2022-04-27,-0.011531929400476704
2022-04-28,-0.000697401692498701
2022-04-29,-0.01262613637334395
2022-04-30,-0.003779591175834804
2022-05-01,0.0236897372768837
2022-05-02,-0.011438327403313894
2022-05-03,0.020311689774304247
2022-05-04,-0.011364611775873064
2022-05-05,-0.015707448090017798
2022-05-06,-0.01714968661937529
2022-05-07,-0.00385639797812705
2022-05-08,-0.01055696897502285
2022-05-09,0.015426342824857053
2022-05-10,0.054016620269999954
2022-05-11,0.0069072469778029034
2022-05-12,0.0652982989759839
2022-05-13,0.0349245039013133
2022-05-14,-0.005553352480787407
2022-05-15,-0.02336294399038395
2022-05-16,-0.030787943407942907
2022-05-17,-0.0011734955355118468
2022-05-18,-0.014854192496917343
2022-05-19,0.050243127127832896
2022-05-20,0.007659551720574954
2022-05-21,0.00515014012867715
2022-05-22,0.00804696224918245
2022-05-23,-0.0008863782229727481
2022-05-24,0.0070916619086051486
2022-05-25,0.00746727042801585
2022-05-26,0.007661294405561851
2022-05-27,0.0013779401111937498
2022-05-28,0.028604749326444898
2022-05-29,-0.0096724335031747
2022-05-30,-0.005723648517460499
2022-05-31,0.016573927059504
2022-06-01,0.0028875209208790997
2022-06-02,-0.0283474284921523
2022-06-03,0.01864904428039645
2022-06-04,-0.012990750882928396
2022-06-05,0.002847592244127301
2022-06-06,0.0017621894744176
2022-06-07,0.01617103529843105
2022-06-08,-0.033168518259764
2022-06-09,0.018115279960673053
2022-06-10,0.0037764879267870996
2022-06-11,-0.01434228741326285
2022-06-12,0.01859496195103766
2022-06-13,-0.027908441151178194
2022-06-14,-0.022737776052996178
2022-06-15,-0.014611062574636001
2022-06-16,0.03394218463664948
2022-06-17,-0.00047807428604404456
2022-06-18,-0.005410544976863902
2022-06-19,-0.007456341246085393
2022-06-20,0.04149280404349876
2022-06-21,-0.0031718321885470502
2022-06-22,0.05127944879991524
2022-06-23,-0.015140449645640701
2022-06-24,0.002416500685618349
2022-06-25,-0.0091997765310507
2022-06-26,0.0106980851977956
2022-06-27,0.043776934180798546
2022-06-28,-0.012253119476936799
2022-06-29,-0.03762040489529715
2022-06-30,0.0418980275875895
2022-07-01,-0.014087943555160347
2022-07-02,-0.011252436709913851
2022-07-03,-0.0016129442210480501
2022-07-04,0.0012165832900221
2022-07-05,0.003316828635530497
2022-07-06,-0.01236187906523195
2022-07-07,-0.007334244106843905
2022-07-08,0.0198456106809005
2022-07-09,-0.008592102978466399
2022-07-10,-0.0081441417570769
2022-07-11,0.012895649487229502
2022-07-12,-0.03156853868256771
2022-07-13,-0.005537526613715753
